Label,Volume,SurfaceArea,MeanBreadth,Sphericity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Box.Z.Min,Box.Z.Max,Centroid.X,Centroid.Y,Centroid.Z,Elli.Center.X,Elli.Center.Y,Elli.Center.Z,Elli.R1,Elli.R2,Elli.R3,Elli.Azim,Elli.Elev,Elli.Roll,Elli.R1/R2,Elli.R1/R3,Elli.R2/R3,InscrBall.Center.X,InscrBall.Center.Y,InscrBall.Center.Z,InscrBall.Radius
1,1574,981.083,21.843,0.297,1,199,219,62,93,0,9,208.508,76.837,2.797,208.508,76.837,2.797,15.700,7.775,4.022,73.204,4.144,-6.872,2.019,3.903,1.933,208,77,0,5.667
2,4214,2136.229,32.360,0.206,1,168,205,63,97,0,11,184.724,78.997,3.282,184.724,78.997,3.282,20.496,13.249,4.924,-10.949,-0.298,172.724,1.547,4.163,2.691,178,77,0,7.667
3,1001,1341.721,120.280,0.047,101,175,202,43,89,60,81,193.697,66.632,72.016,193.697,66.632,72.016,22.024,9.528,8.495,65.790,-11.023,-12.291,2.311,2.593,1.122,196,65,74,2.667
4,14055,4135.517,49.981,0.316,1,134,202,64,100,90,119,167.062,81.663,102.754,167.062,81.663,102.754,35.640,12.068,8.857,20.555,-7.938,45.092,2.953,4.024,1.363,156,76,100,8.333
5,11903,4442.161,51.442,0.183,0,55,94,35,93,12,59,75.268,65.002,32.084,75.268,65.002,32.084,28.718,22.432,6.018,76.469,-19.519,51.136,1.280,4.772,3.727,76,56,24,5.000
6,46684,11057.641,81.486,0.182,17,108,165,39,153,28,87,137.234,91.339,57.447,137.234,91.339,57.447,68.081,20.274,9.178,75.086,24.023,6.002,3.358,7.418,2.209,126,75,65,9.333
7,20714,5858.763,62.525,0.241,1,187,228,180,233,51,100,205.889,209.378,81.574,205.889,209.378,81.574,24.465,20.561,13.456,-75.377,-34.231,119.093,1.190,1.818,1.528,204,211,79,11.000
8,67848,12945.760,96.613,0.240,-1,71,173,153,237,13,101,125.559,198.124,66.912,125.559,198.124,66.912,73.859,20.519,14.076,-37.282,-24.961,145.617,3.599,5.247,1.458,148,180,78,12.333
9,11241,3432.106,38.407,0.353,1,159,203,44,75,0,25,181.549,58.255,9.799,181.549,58.255,9.799,23.046,13.211,10.631,-21.663,-3.748,117.411,1.745,2.168,1.243,176,58,8,8.000
10,13800,4402.307,47.858,0.252,0,127,154,64,116,0,46,140.176,85.433,19.395,140.176,85.433,19.395,30.753,17.005,9.148,-77.552,-51.540,97.165,1.808,3.362,1.859,143,83,28,6.667
11,7503,2791.008,38.287,0.293,1,105,138,18,45,16,55,123.364,29.774,35.772,123.364,29.774,35.772,20.147,13.462,8.541,-55.645,58.482,-138.529,1.497,2.359,1.576,127,27,32,6.333
12,5233,2243.556,34.240,0.274,0,27,50,99,133,24,61,36.716,116.069,41.135,36.716,116.069,41.135,18.088,13.033,6.979,-58.669,-54.481,-131.327,1.388,2.592,1.867,35,122,37,6.000
13,18969,6210.420,75.625,0.170,1,90,139,137,237,66,140,112.187,186.942,109.044,112.187,186.942,109.044,73.410,11.174,7.024,66.647,39.388,39.252,6.570,10.451,1.591,102,165,128,7.667
14,1053,823.244,24.665,0.225,1,78,97,23,56,0,11,88.897,45.049,3.120,88.897,45.049,3.120,15.193,6.211,5.126,72.351,-7.688,12.348,2.446,2.964,1.212,90,46,0,5.000
15,15318,7884.166,80.393,0.054,-6,36,139,125,164,9,90,75.564,141.779,56.127,75.564,141.779,56.127,74.163,18.742,3.744,-6.508,35.064,-27.490,3.957,19.809,5.006,54,147,68,4.333
16,234,283.377,12.458,0.272,1,68,89,167,177,136,140,78.056,172.346,138.833,78.056,172.346,138.833,10.867,3.728,1.856,12.626,0.725,-3.147,2.915,5.856,2.009,76,172,139,3.000
17,147,198.459,10.298,0.313,1,50,56,137,148,129,140,52.718,143.214,136.214,52.718,143.214,136.214,7.103,4.507,1.582,-66.806,-49.452,111.004,1.576,4.490,2.849,53,141,139,2.000
